Subject ID,Subject Mass (g),Cage,Time (min),VO2 (ml/h/kg),VCO2 (ml/h/kg),H(1),RER,Feed,Water,"XY, XT (counts)",Hour,Day,Experiment Hour (hrs),Exp Day,Weight (g),XA,YA,DateOneHours,Ambulatory Movements (counts),DateHalfHours,ThirtyMinute,O2,CO2,dO2,dCO2,VO2(1),VO2(2),VO2(3),VCO2(1),VCO2(2),VCO2(3),RER,H(1),H(2),H(3),XT+YT,XT,XA,XF,YT,YA,YF,Z,CenT,CenA,CenF,PerT,PerA,PerF,DistK,DistD,Speed,Drink,Feed,Feces,Urine,Weight,Gender
DBH-CRE C74 M2,28.7,BOX 1,11:05,1823,1612,8.969,0.884,0,0.05,899,3/1/2021 11:05,3/1/2021,0,1,28.7,392,216,3/1/2021 11:00,608,3/1/2021 11:00,11:00:00 AM,20.58,0.227,0.187,0.169,1823,751,52,1612,663,46,0.884,8.969,3.692,0.257,899,544,392,152,355,216,139,136,566,400,166,333,208,125,4599,4599,8,0.05,0,0,0,28.7,M
DBH-CRE C74 M2,28.7,BOX 1,11:15,2969,2552,14.522,0.859,0,0.05,530,3/1/2021 11:15,3/1/2021,0,1,28.7,216,107,3/1/2021 11:00,323,3/1/2021 11:00,11:00:00 AM,20.46,0.335,0.31,0.275,2969,1222,85,2552,1050,73,0.859,14.522,5.977,0.417,530,317,216,101,213,107,106,99,269,183,86,261,140,121,7615,3016,5,0.05,0,0,0,28.7,M
DBH-CRE C74 M2,28.7,BOX 1,11:25,3795,3280,18.583,0.864,0,0.06,654,3/1/2021 11:25,3/1/2021,0,1,28.7,253,181,3/1/2021 11:00,434,3/1/2021 11:00,11:00:00 AM,20.38,0.404,0.388,0.345,3795,1562,109,3280,1350,94,0.864,18.583,7.648,0.533,654,368,253,115,286,181,105,111,358,256,102,296,178,118,11194,3579,6,0.06,0,0,0,28.7,M
DBH-CRE C74 M2,28.7,BOX 1,11:35,3689,3109,17.977,0.843,0,0.06,501,3/1/2021 11:35,3/1/2021,0,1,28.7,196,124,3/1/2021 11:00,320,3/1/2021 11:30,11:30 AM,20.4,0.382,0.376,0.328,3689,1518,106,3109,1280,89,0.843,17.977,7.399,0.516,501,285,196,89,216,124,92,85,260,181,79,241,139,102,13554,2360,4,0.06,0,0,0,28.7,M
DBH-CRE C74 M2,28.7,BOX 1,11:45,3339,2817,16.275,0.844,0,0.06,429,3/1/2021 11:45,3/1/2021,0,1,28.7,154,91,3/1/2021 11:00,245,3/1/2021 11:30,11:30 AM,20.43,0.351,0.345,0.301,3339,1374,96,2817,1160,81,0.844,16.275,6.699,0.467,429,250,154,96,179,91,88,90,234,150,84,195,95,100,16249,2695,4,0.06,0,0,0,28.7,M
DBH-CRE C74 M2,28.7,BOX 1,11:55,3180,2654,15.467,0.835,0,0.07,291,3/1/2021 11:55,3/1/2021,0,1,28.7,96,50,3/1/2021 11:00,146,3/1/2021 11:30,11:30 AM,20.45,0.333,0.329,0.284,3180,1309,91,2654,1092,76,0.835,15.467,6.366,0.444,291,173,96,77,118,50,68,55,82,50,32,209,96,113,19111,2862,5,0.07,0,0,0,28.7,M
DBH-CRE C74 M2,28.7,BOX 1,12:05,3004,2451,14.551,0.816,0,0.07,323,3/1/2021 12:05,3/1/2021,1,1,28.7,102,66,3/1/2021 12:00,168,3/1/2021 12:00,12:00 PM,20.47,0.31,0.308,0.261,3004,1237,86,2451,1009,70,0.816,14.551,5.989,0.418,323,181,102,79,142,66,76,44,142,82,60,181,86,95,21236,2125,4,0.07,0,0,0,28.7,M
DBH-CRE C74 M2,28.7,BOX 1,12:15,2774,2249,13.421,0.811,0,0.07,180,3/1/2021 12:15,3/1/2021,1,1,28.7,25,46,3/1/2021 12:00,71,3/1/2021 12:00,12:00 PM,20.5,0.288,0.284,0.24,2774,1142,80,2249,926,65,0.811,13.421,5.524,0.385,180,86,25,61,94,46,48,21,97,34,63,83,37,46,23675,2439,4,0.07,0,0,0,28.7,M
DBH-CRE C74 M2,28.7,BOX 1,12:25,2411,1904,11.608,0.79,0,0.07,28,3/1/2021 12:25,3/1/2021,1,1,28.7,0,0,3/1/2021 12:00,0,3/1/2021 12:00,12:00 PM,20.53,0.252,0.246,0.204,2411,992,69,1904,784,55,0.79,11.608,4.778,0.333,28,11,0,11,17,0,17,0,0,0,0,28,0,28,24264,589,1,0.07,0,0,0,28.7,M
DBH-CRE C74 M2,28.7,BOX 1,12:35,2102,1608,10.062,0.765,0,0.07,265,3/1/2021 12:35,3/1/2021,1,1,28.7,58,73,3/1/2021 12:00,131,3/1/2021 12:30,12:30 PM,20.57,0.219,0.212,0.171,2102,865,60,1608,662,46,0.765,10.062,4.141,0.289,265,112,58,54,153,73,80,21,132,82,50,133,49,84,28805,4542,8,0.07,0,0,0,28.7,M
